岩手県,0.9565217391304348,平成25年度岩手県中小企業振興資金特別会計予算,平成23年度岩手県中小企業振興資金特別会計歳入歳出決算,認定第10号　平成23年度岩手県中小企業振興資金特別会計歳入歳出決算
岩手県,0.9565217391304348,平成25年度岩手県土地先行取得事業特別会計予算,平成23年度岩手県土地先行取得事業特別会計歳入歳出決算,認定第11号　平成23年度岩手県土地先行取得事業特別会計歳入歳出決算
岩手県,0.5384615384615384,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,田老漁港防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第60号　田老漁港防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.3333333333333333,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,大船渡漁港岸壁ほか災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第61号　大船渡漁港岸壁ほか災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.5128205128205128,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,綾里漁港東防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第62号　綾里漁港東防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.5128205128205128,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,綾里漁港西防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第63号　綾里漁港西防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.46153846153846156,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,船越漁港防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第64号　船越漁港防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.9285714285714286,土地利用審査会の委員の任命に関し同意を求めることについて,人事委員会の委員の選任に関し同意を求めることについて,議案第65号　人事委員会の委員の選任に関し同意を求めることについて
岩手県,0.9285714285714286,土地利用審査会の委員の任命に関し同意を求めることについて,人事委員会の委員の選任に関し同意を求めることについて,　　　日程63　議案第65号人事委員会の委員の選任に関し同意を求めることについて
岩手県,0.5128205128205128,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,根白漁港東防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第66号　根白漁港東防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.8205128205128205,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,根白漁港内港第１防波堤ほか災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第67号　根白漁港内港第１防波堤ほか災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.717948717948718,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,根白漁港東防波堤ほか災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第68号　根白漁港東防波堤ほか災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.5897435897435898,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,崎浜漁港南第１防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第69号　崎浜漁港南第１防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.7948717948717948,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,崎浜漁港南第２防波堤ほか災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第70号　崎浜漁港南第２防波堤ほか災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.8461538461538461,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,釜石漁港岸壁災害復旧工事の変更請負契約の締結に関し議決を求めることについて,議案第71号　釜石漁港岸壁災害復旧工事の変更請負契約の締結に関し議決を求めることについて
岩手県,0.6153846153846154,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,越喜来漁港防波堤ほか災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第72号　越喜来漁港防波堤ほか災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.6153846153846154,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,門の浜漁港防波堤ほか災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第73号　門の浜漁港防波堤ほか災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.5384615384615384,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,長部漁港防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第74号　長部漁港防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.6153846153846154,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,六ヶ浦漁港防波堤ほか災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第75号　六ヶ浦漁港防波堤ほか災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.5384615384615384,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,両石漁港防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第76号　両石漁港防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.5384615384615384,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,唐丹漁港防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第77号　唐丹漁港防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.6153846153846154,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,吉里吉里漁港防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第78号　吉里吉里漁港防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.5128205128205128,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,島の越漁港防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第79号　島の越漁港防波堤災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.3157894736842105,平成25年度岩手県立病院等事業会計予算,平成23年度岩手県立病院等事業会計決算,　　　認定第１号　平成23年度岩手県立病院等事業会計決算
岩手県,0.0,特別職の職員の給与並びに旅費及び費用弁償に関する条例の一部を改正する条例,特別職の職員の給与並びに旅費及び費用弁償に関する条例の一部を改正する条例,　　　日程第32　発議案第14号特別職の職員の給与並びに旅費及び費用弁償に関する条例の一部を改正する条例
岩手県,0.0,特別職の職員の給与並びに旅費及び費用弁償に関する条例の一部を改正する条例,特別職の職員の給与並びに旅費及び費用弁償に関する条例の一部を改正する条例,議案第１号　特別職の職員の給与並びに旅費及び費用弁償に関する条例の一部を改正する条例
岩手県,0.88,一般職の職員の給与に関する条例の一部を改正する条例,一般職の任期付職員の採用等に関する条例の一部を改正する条例,議案第２号　一般職の任期付職員の採用等に関する条例の一部を改正する条例
岩手県,0.0,一般職の任期付研究員の採用等に関する条例の一部を改正する条例,一般職の任期付研究員の採用等に関する条例の一部を改正する条例,議案第３号　一般職の任期付研究員の採用等に関する条例の一部を改正する条例
岩手県,0.0,一般職の職員の給与に関する条例の一部を改正する条例,一般職の職員の給与に関する条例の一部を改正する条例,議案第４号　一般職の職員の給与に関する条例の一部を改正する条例
岩手県,0.96,一般職の職員の給与に関する条例の一部を改正する条例,市町村立学校職員の給与等に関する条例の一部を改正する条例,議案第５号　市町村立学校職員の給与等に関する条例の一部を改正する条例
岩手県,0.2727272727272727,平成25年度岩手県一般会計補正予算（第４号）,平成24年度岩手県一般会計補正予算（第５号）,議案第７号　平成24年度岩手県一般会計補正予算（第５号）
岩手県,0.7857142857142857,平成25年度岩手県港湾整備事業特別会計補正予算（第３号）,平成24年度岩手県流域下水道事業特別会計補正予算（第２号）,議案第８号　平成24年度岩手県流域下水道事業特別会計補正予算（第２号）
岩手県,0.21428571428571427,平成25年度岩手県港湾整備事業特別会計補正予算（第３号）,平成24年度岩手県港湾整備事業特別会計補正予算（第２号）,議案第９号　平成24年度岩手県港湾整備事業特別会計補正予算（第２号）
岩手県,0.9444444444444444,岩手県手数料条例の一部を改正する条例,岩手県部局等設置条例の一部を改正する条例,議案第10号　岩手県部局等設置条例の一部を改正する条例
岩手県,0.8235294117647058,岩手県県税条例の一部を改正する条例,岩手県職員定数条例の一部を改正する条例,議案第11号　岩手県職員定数条例の一部を改正する条例
岩手県,0.0,岩手県の事務を市町村が処理することとする事務処理の特例に関する条例の一部を改正する条例,岩手県の事務を市町村が処理することとする事務処理の特例に関する条例の一部を改正する条例,議案第12号　岩手県の事務を市町村が処理することとする事務処理の特例に関する条例の一部を改正する条例
岩手県,0.88,一般職の職員の給与に関する条例の一部を改正する条例,一般職の職員の特殊勤務手当に関する条例の一部を改正する条例,議案第13号　一般職の職員の特殊勤務手当に関する条例の一部を改正する条例
岩手県,0.5882352941176471,岩手県県税条例の一部を改正する条例,岩手県手数料条例の一部を改正する条例,議案第15号　岩手県手数料条例の一部を改正する条例
岩手県,0.0,国民健康保険法に基づく岩手県調整交付金の交付に関する条例の一部を改正する条例,国民健康保険法に基づく岩手県調整交付金の交付に関する条例の一部を改正する条例,議案第16号　国民健康保険法に基づく岩手県調整交付金の交付に関する条例の一部を改正する条例
岩手県,0.22916666666666666,大船渡港茶屋前地区港湾災害復旧（第２工区）工事の変更請負契約の締結に関し議決を求めることについて,大船渡港茶屋前地区港湾災害復旧（第１工区）工事の請負契約の締結に関し議決を求めることについて,議案第20号　大船渡港茶屋前地区港湾災害復旧（第１工区）工事の請負契約の締結に関し議決を求めることについて
岩手県,0.16666666666666666,大船渡港茶屋前地区港湾災害復旧（第２工区）工事の変更請負契約の締結に関し議決を求めることについて,大船渡港茶屋前地区港湾災害復旧（第２工区）工事の請負契約の締結に関し議決を求めることについて,議案第21号　大船渡港茶屋前地区港湾災害復旧（第２工区）工事の請負契約の締結に関し議決を求めることについて
岩手県,0.9512195121951219,岩手県立陸中海岸青少年の家の指定管理者を指定することに関し議決を求めることについて,県民活動交流センターの指定管理者を指定することに関し議決を求めることについて,議案第22号　県民活動交流センターの指定管理者を指定することに関し議決を求めることについて
岩手県,0.7317073170731707,岩手県立陸中海岸青少年の家の指定管理者を指定することに関し議決を求めることについて,岩手県立種市漁港海岸休養施設の指定管理者を指定することに関し議決を求めることについて,議案第24号　岩手県立種市漁港海岸休養施設の指定管理者を指定することに関し議決を求めることについて
岩手県,0.8536585365853658,岩手県立陸中海岸青少年の家の指定管理者を指定することに関し議決を求めることについて,岩手県立図書館（維持管理業務）の指定管理者を指定することに関し議決を求めることについて,議案第25号　岩手県立図書館（維持管理業務）の指定管理者を指定することに関し議決を求めることについて
岩手県,0.6585365853658537,岩手県立陸中海岸青少年の家の指定管理者を指定することに関し議決を求めることについて,岩手県立図書館（運営業務）の指定管理者を指定することに関し議決を求めることについて,議案第26号　岩手県立図書館（運営業務）の指定管理者を指定することに関し議決を求めることについて
岩手県,0.0,岩手県立陸中海岸青少年の家の指定管理者を指定することに関し議決を求めることについて,岩手県立陸中海岸青少年の家の指定管理者を指定することに関し議決を求めることについて,議案第27号　岩手県立陸中海岸青少年の家の指定管理者を指定することに関し議決を求めることについて
岩手県,0.0,当せん金付証票の発売に関し議決を求めることについて,当せん金付証票の発売に関し議決を求めることについて,議案第28号　当せん金付証票の発売に関し議決を求めることについて
